,LineId,YMD,Time,Type,Component,Content
0,1,2021-03-29,"23:58:12,322",INFO,org.apache.hadoop.hdfs.server.datanode.DataNode,STARTUP_MSG:
1,2,2021-03-29,"23:58:12,452",INFO,org.apache.hadoop.hdfs.server.datanode.DataNode,"registered UNIX signal handlers for [TERM, HUP, INT]"
2,3,2021-03-29,"23:58:19,524",INFO,org.apache.hadoop.hdfs.server.datanode.checker.ThrottledAsyncChecker,Scheduling a check for [DISK]file:/home/hadoop3/hadoop/tmp/dfs/data
3,4,2021-03-29,"23:58:21,891",INFO,org.apache.hadoop.metrics2.impl.MetricsConfig,Loaded properties from hadoop-metrics2.properties
4,5,2021-03-29,"23:58:22,636",INFO,org.apache.hadoop.metrics2.impl.MetricsSystemImpl,Scheduled Metric snapshot period at 10 second(s).
5,6,2021-03-29,"23:58:22,636",INFO,org.apache.hadoop.metrics2.impl.MetricsSystemImpl,DataNode metrics system started
6,7,2021-03-29,"23:58:24,355",INFO,org.apache.hadoop.hdfs.server.common.Util,dfs.datanode.fileio.profiling.sampling.percentage set to 0. Disabling file IO profiling
7,8,2021-03-29,"23:58:24,705",INFO,org.apache.hadoop.hdfs.server.datanode.BlockScanner,Initialized block scanner with targetBytesPerSec 1048576
8,9,2021-03-29,"23:58:24,777",INFO,org.apache.hadoop.hdfs.server.datanode.DataNode,Configured hostname is hadoop-slave2
9,10,2021-03-29,"23:58:24,778",INFO,org.apache.hadoop.hdfs.server.common.Util,dfs.datanode.fileio.profiling.sampling.percentage set to 0. Disabling file IO profiling
10,11,2021-03-29,"23:58:24,992",INFO,org.apache.hadoop.hdfs.server.datanode.DataNode,Starting DataNode with maxLockedMemory = 0
11,12,2021-03-29,"23:58:25,984",INFO,org.apache.hadoop.hdfs.server.datanode.DataNode,Opened streaming server at /0.0.0.0:9866
12,13,2021-03-29,"23:58:26,101",INFO,org.apache.hadoop.hdfs.server.datanode.DataNode,Balancing bandwidth is 10485760 bytes/s
13,14,2021-03-29,"23:58:26,102",INFO,org.apache.hadoop.hdfs.server.datanode.DataNode,Number threads for balancing is 50
14,15,2021-03-29,"23:58:27,925",INFO,org.eclipse.jetty.util.log,Logging initialized @40007ms
15,16,2021-03-29,"23:58:28,901",INFO,org.apache.hadoop.security.authentication.server.AuthenticationFilter,"Unable to initialize FileSignerSecretProvider, falling back to use random secrets."
16,17,2021-03-29,"23:58:28,930",INFO,org.apache.hadoop.http.HttpRequestLog,Http request log for http.requests.datanode is not defined
17,18,2021-03-29,"23:58:28,969",INFO,org.apache.hadoop.http.HttpServer2,Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter)
18,19,2021-03-29,"23:58:29,017",INFO,org.apache.hadoop.http.HttpServer2,Added filter static_user_filter (class=org.apache.hadoop.http.lib.StaticUserWebFilter$StaticUserFilter) to context datanode
19,20,2021-03-29,"23:58:29,017",INFO,org.apache.hadoop.http.HttpServer2,Added filter static_user_filter (class=org.apache.hadoop.http.lib.StaticUserWebFilter$StaticUserFilter) to context static
20,21,2021-03-29,"23:58:29,017",INFO,org.apache.hadoop.http.HttpServer2,Added filter static_user_filter (class=org.apache.hadoop.http.lib.StaticUserWebFilter$StaticUserFilter) to context logs
21,22,2021-03-29,"23:58:29,369",INFO,org.apache.hadoop.http.HttpServer2,Jetty bound to port 39353
22,23,2021-03-29,"23:58:29,386",INFO,org.eclipse.jetty.server.Server,"jetty-9.3.24.v20180605, build timestamp: 2018-06-05T17:11:56Z, git hash: 84205aa28f11a4f31f2a3b86d1bba2cc8ab69827"
23,24,2021-03-29,"23:58:29,744",INFO,org.eclipse.jetty.server.handler.ContextHandler,"Started o.e.j.s.ServletContextHandler@269308cc{/logs,file:///usr/local/hadoop/logs/,AVAILABLE}"
24,25,2021-03-29,"23:58:29,757",INFO,org.eclipse.jetty.server.handler.ContextHandler,"Started o.e.j.s.ServletContextHandler@17d816b3{/static,file:///usr/local/hadoop/share/hadoop/hdfs/webapps/static/,AVAILABLE}"
25,26,2021-03-29,"23:58:30,744",INFO,org.eclipse.jetty.server.handler.ContextHandler,"Started o.e.j.w.WebAppContext@5c41b8d8{/,file:///usr/local/hadoop/share/hadoop/hdfs/webapps/datanode/,AVAILABLE}{/datanode}"
26,27,2021-03-29,"23:58:30,756",INFO,org.eclipse.jetty.server.AbstractConnector,"Started ServerConnector@28e48b65{HTTP/1.1,[http/1.1]}{localhost:39353}"
27,28,2021-03-29,"23:58:30,756",INFO,org.eclipse.jetty.server.Server,Started @42838ms
28,29,2021-03-29,"23:58:31,963",INFO,org.apache.hadoop.hdfs.server.datanode.web.DatanodeHttpServer,Listening HTTP traffic on /0.0.0.0:9864
29,30,2021-03-29,"23:58:32,038",INFO,org.apache.hadoop.hdfs.server.datanode.DataNode,dnUserName = root
30,31,2021-03-29,"23:58:32,039",INFO,org.apache.hadoop.hdfs.server.datanode.DataNode,supergroup = supergroup
31,32,2021-03-29,"23:58:32,042",INFO,org.apache.hadoop.util.JvmPauseMonitor,Starting JVM pause monitor
32,33,2021-03-29,"23:58:32,424",INFO,org.apache.hadoop.ipc.CallQueueManager,"Using callQueue: class java.util.concurrent.LinkedBlockingQueue, queueCapacity: 1000, scheduler: class org.apache.hadoop.ipc.DefaultRpcScheduler, ipcBackoff: false."
33,34,2021-03-29,"23:58:32,890",INFO,org.apache.hadoop.ipc.Server,Starting Socket Reader #1 for port 9867
34,35,2021-03-29,"23:58:37,022",INFO,org.apache.hadoop.hdfs.server.datanode.DataNode,Opened IPC server at /0.0.0.0:9867
35,36,2021-03-29,"23:58:37,367",INFO,org.apache.hadoop.hdfs.server.datanode.DataNode,Refresh request received for nameservices: null
36,37,2021-03-29,"23:58:37,456",INFO,org.apache.hadoop.hdfs.server.datanode.DataNode,Starting BPOfferServices for nameservices: <default>
37,38,2021-03-29,"23:58:38,038",INFO,org.apache.hadoop.hdfs.server.datanode.DataNode,Block pool <registering> (Datanode Uuid unassigned) service to hadoop-master/172.18.0.3:9000 starting to offer service
38,39,2021-03-29,"23:58:38,242",INFO,org.apache.hadoop.ipc.Server,IPC Server Responder: starting
39,40,2021-03-29,"23:58:38,259",INFO,org.apache.hadoop.ipc.Server,IPC Server listener on 9867: starting
40,41,2021-03-29,"23:58:41,001",INFO,org.apache.hadoop.ipc.Client,"Retrying connect to server: hadoop-master/172.18.0.3:9000. Already tried 0 time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=10, sleepTime=1000 MILLISECONDS)"
